run,task,labels,model,accuracy,macro_f1,auc
outputs_v2_5pct_fusion_freq_binary_expert_ensemble,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9975,0.9974986064776106,
outputs_v2_5pct_fusion_freq_flat,binary_ai_vs_nature,ai|nature,lightgbm,0.9870833333333332,0.987083331090856,0.9989402777777776
outputs_v2_5pct_fusion_freq_flat,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9966666666666668,0.9966652731442772,
outputs_v2_5pct_fusion_freq_hierarchical_attribution,binary_ai_vs_nature,ai|nature,lightgbm,0.9875,0.9874998611095678,0.9989402777777776
outputs_v2_5pct_fusion_freq_pairwise_ovo_attribution,binary_ai_vs_nature,ai|nature,lightgbm,0.9870833333333332,0.987083331090856,0.9989402777777776
outputs_v2_5pct_fusion_freq_pairwise_ovo_attribution,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm_pairwise_ovo,0.9975,0.9974986064776106,
outputs_v2_5pct_multiscale_freq_flat,binary_ai_vs_nature,ai|nature,lightgbm,0.9204166666666668,0.9204033867456012,0.9757020833333332
outputs_v2_5pct_multiscale_freq_flat,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9016666666666666,0.900663155027844,
outputs_v2_5pct_residual_freq_flat,binary_ai_vs_nature,ai|nature,lightgbm,0.90875,0.9087499841579834,0.9680486111111112
outputs_v2_5pct_residual_freq_flat,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8958333333333334,0.8951162258650762,
outputs_v2_full_best,binary_ai_vs_nature,ai|nature,lightgbm,0.99125,0.9912499992556424,0.9996183090277778
outputs_v2_full_best,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9990833333333332,0.9990832351600708,
outputs_v2_model_smoke_binary_expert_ensemble,binary_ai_vs_nature,ai|nature,lightgbm_binary_expert_ensemble,0.9125,0.9125,0.9604513888888888
outputs_v2_model_smoke_binary_expert_ensemble,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8791666666666667,0.8759265428743431,
outputs_v2_model_smoke_hierarchical_attribution,binary_ai_vs_nature,ai|nature,lightgbm,0.8770833333333333,0.8770785317134784,0.9422222222222224
outputs_v2_model_smoke_hierarchical_attribution,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm_hierarchical,0.8833333333333333,0.880113527111119,
outputs_v2_model_smoke_pairwise_ovo_attribution,binary_ai_vs_nature,ai|nature,lightgbm,0.8791666666666667,0.8791141988710378,0.9422395833333332
outputs_v2_model_smoke_pairwise_ovo_attribution,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm_pairwise_ovo,0.8791666666666667,0.8765158714160931,
outputs_v2_smoke_block_dct,binary_ai_vs_nature,ai|nature,lightgbm,0.875,0.8741258741258742,0.965277777777778
outputs_v2_smoke_block_dct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9583333333333334,0.958041958041958,
outputs_v2_smoke_color_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.9583333333333334,0.9583333333333334,0.9965277777777776
outputs_v2_smoke_color_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9166666666666666,0.9166666666666669,
outputs_v2_smoke_fusion_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.9583333333333334,0.9583333333333334,0.9913194444444444
outputs_v2_smoke_fusion_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,1.0,1.0,
outputs_v2_smoke_multiscale_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.8958333333333334,0.8954248366013071,0.9652777777777778
outputs_v2_smoke_multiscale_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8333333333333334,0.8223276723276723,
outputs_v2_smoke_residual_freq,binary_ai_vs_nature,ai|nature,lightgbm,0.9166666666666666,0.9165217391304348,0.9739583333333334
outputs_v2_smoke_residual_freq,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.8333333333333334,0.8057692307692308,
outputs_worker_fusion_mild_aug_20pct,binary_ai_vs_nature,ai|nature,lightgbm,0.9474342105263158,0.9474303057976012,0.98912101800554
outputs_worker_fusion_mild_aug_20pct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.9958333333333332,0.9958262726036256,
outputs_worker_stable_freq_20pct,binary_ai_vs_nature,ai|nature,lightgbm,0.8903125,0.8902672245140206,0.9559748263888888
outputs_worker_stable_freq_20pct,ai_subsource_attribution,ADM|BigGAN|VQDM|glide,lightgbm,0.888125,0.8878718053642719,
